=== Training Session Summary (2024-09-06) ===
Batch Size: 48
Model Params: 99.00M
GFLOPs: 793.21

=== Epochwise Metrics ===
Epoch  | Loss     | AP       | AP@50   
----------------------------------------
1      | 4.0133   | 0.492    | 0.999   
2      | 1.3899   | 0.695    | 0.990   
3      | 0.8846   | 0.722    | 0.990   
4      | 1.1069   | 0.713    | 0.990   
5      | 0.6023   | 0.741    | 0.990   
6      | 0.7259   | 0.752    | 0.990   
7      | 0.717    | 0.778    | 0.990   
8      | 0.7976   | 0.788    | 0.990   
9      | 0.7968   | 0.797    | 0.990   
10     | 0.6194   | 0.798    | 0.990   
11     | 0.9112   | 0.802    | 0.990   
12     | 0.885    | 0.804    | 0.990   
13     | 0.7548   | 0.815    | 0.990   
14     | 0.6295   | 0.813    | 0.990   
15     | 0.6864   | 0.815    | 0.990   
16     | 0.83     |          |         
1      | 4.3085   | 0.478    | 0.856   
2      | 1.445    | 0.587    | 0.980   
3      | 0.9356   | 0.541    | 0.990   
4      | 1.0513   | 0.603    | 0.980   
5      | 1.0393   | 0.600    | 0.980   
6      | 0.9116   | 0.593    | 0.980   
7      | 0.8432   | 0.595    | 0.990   
8      | 0.9456   | 0.584    | 0.990   
9      | 1.0176   | 0.592    | 0.980   
10     | 1.6266   | 0.602    | 0.965   
11     | 1.4801   | 0.606    | 0.971   
12     | 0.7631   | 0.605    | 0.990   
13     | 0.6934   | 0.599    | 0.990   
14     | 1.1845   | 0.604    | 0.990   
15     | 0.8696   | 0.605    | 0.971   
16     | 0.8688   | 0.620    | 0.990   
17     | 0.7819   | 0.613    | 0.990   
18     | 0.8885   | 0.609    | 0.990   
19     | 0.8967   |          |         
